tweet_id	tweet	class
854534152070279168	These new anti-anxiety meds make me so sleepy😴💤 Not sure if It will work out for me.. But I'm so tired of always switching meds 😒	1
794036802378035200	@xmermaidmama you can try vitamins for Olivia! Hudson has taken vitamins since the NICU &amp; it helps him gain weight	1
832808092253319169	Toby set up the humidifier for me in the room &amp; I practically chugged a bottle of Sudafed.  Im dead to the world.  Night y'all 😴👋🏼	1
703545681366097920	I'm an 8. They also just started me on pitocin to help me dilate faster so it shouldn't be long! Ready to have this baby!!!	1
800367699758977024	@sstuckeyy I didn't take prenatals at all, people didn't back in the day so I don't think it's necessary. Just eat healthy &amp; drink water 😊	1
889880546679152640	@LinzDeFranco Try generic (Wal-Mart brand) Prilosec OTC gel capsules. It's the ONLY thing that has helped with my pregnancy	1
590750866971459584	@CanadianKelli I sucked back so much entonox over the labour I had a massive hangover the next day.	1
694693104939499521	So explain to me how GMO insulin is poison? Without it, diabetics die. Citations for poisoning people and the planet please. @duncanasper	1
651201426274684929	Stephanie sounds like she needs some decongestant! #RAW	1
625285153552793600	@Noct_Harley yep. Antibiotics &amp; prayers that it passes &amp; doesn't spread to my other ear since I took all of my vacation time already.	1
180138453118365697	Just took my first muscle relaxer to help with my back pain. I don't see what all the fuss is about painkillers, I sdfbyese5i6tygfdshbve4eui	1
551921595124428800	@TheMamaship Ugh. I had a sinus infection last Winter and could not get over the teeth pain. So annoying. I ended up on antibiotics.	1
800557939207577600	The FACT I drunk this castor oil shit twice don't make no fucking sense... I wouldn't wish that on my worst enemy 😷	1
844262638515359744	Told Jordan to bring me Tylenol &amp; a phenergen &amp; just realized he gave me two Tylenol pm.. its only 2 and I got no sleep last night. Not good	1
861741537184665601	@TheWife_ I get those contractions ALL. THE. TIME. My doctor Put me On Vastaril to Help settle them down. It helps a bit.	1
453184960027848704	tylenol is gay af.	1
574774568155484161	I told them I will be askin for my birth control contraception soon as I push her out. Frfr	1
680870640849559552	Pixie still has a few vaccines to get, so until then I've been getting creative on ways to show her around her new world safely... 💕🐶✨	1
841099583035912193	⭐️ GIVEAWAY⭐️  Vitamins! Every #pregnant mama needs them! I hate swallowing big pills! I'm so… https://t.co/kHC8QaFVoR	1
500119938779320320	Pain medicine kicking in got me sleepy	1
772623794422751233	I'm all like babe I love you but stay the fuck away from me  *throws Tylenol &amp; wet rag from across room* &amp; sleep on the couch tonight  🙃	1
799450815572430849	High af off the morphine... lol	1
874313666212106240	Jesus Christ how did I let myself run out of painkillers??  Fuuuuuuuck I can barely move out of bed!	1
615268215393009664	Steroid injections sting like a trooper!! I don't mind needles but frig me the liquid hurts!!	1
407419806770417665	Hahaha I took medicine to fall asleep nyquil and sleeping pills neither are working :(	1
