tweet_id,user_id,tweet,feature1,feature2,class,AE,medication1,medication2
350499343540813824,64986227,@doctorcaldwell alendronate works in elderly. Intended benefits are relevant. Issues are compliance/tolerability and life expectancy> 1 yr,,,,,,
354293203786141698,1230312476,{1} Alendronate is a bisphosphonate used to treat Oseoporosis and Paget's disease. How should the patient take it?pic.twitter.com/dGu1bARBhA,,,,,,
344228218259251200,119049059,Apixaban: factor xa inhibitor for stroke prevention in patients with nonvalvular atrial fibrillation.,,,,,,
351665598968766464,1523726154,Giancarlo Agnelli just presented good résults of #Amplify study #Apixaban in treatment of PE and DVT #isth2013pic.twitter.com/pSWj9OEaKV,,,,,,
332531689639256064,42685103,"Does anybody take Baclofen? so, what dose? Just curious. I now take 50mg a day Can you RT please @PositiveAboutMS ?",112.0,114.0,Indication,MS,baclofen,baclofen
332574327444746240,210777087,"@CaroleWhelan I find the baclofen worse, it has left me in a tired/sleepy fog all day - the codeine I can (mostly) deal with.",60.0,66.0,ADR, tired,baclofen,baclofen
332574327444746240,210777087,"@CaroleWhelan I find the baclofen worse, it has left me in a tired/sleepy fog all day - the codeine I can (mostly) deal with.",67.0,73.0,ADR,sleepy,baclofen,baclofen
332574327444746240,210777087,"@CaroleWhelan I find the baclofen worse, it has left me in a tired/sleepy fog all day - the codeine I can (mostly) deal with.",74.0,77.0,ADR,fog,baclofen,baclofen
342052382705844224,10052162,I think baclofen might make me a bigger asshole than usual. :/,23.0,47.0,ADR,make me a bigger asshole,baclofen,baclofen
351027118215413761,175142308,"@neph0079@PositiveAboutMS I take baclofen ""can't sleep! want to sleep!"" help!",43.0,54.0,ADR,can't sleep,baclofen,baclofen
349205952320389120,441387800,@speeeeedbird Over your knee? Are you sure that's safe w/your osteoporosis & arthritis? Should have taken your once a month Boniva. #Kidding,,,,,,
348973695575937024,335950885,Canagliflozin demonstrates better glycemic control and body weight reduction versus sitagliptin in a 52 weeks clinical study #2013ADA,,,,,,
332496252136722432,45735030,A double shot of Africa with a Cipro chaser #stomachparty #ethiopiaspring2013,,,,,,
332546823447248896,83676464,"@CIPROisPOISON ironically, the pulmonologist I work with told me about his own devastating bout with 'tendonitis' after Cipro",102.0,112.0,ADR,tendonitis,cipro,cipro
332990941629657088,16060054,"@_cimmy_ thanks! yes, after I was prescribed Cipro a few years ago, and it REALLY messed me up, I am quite wary of broad spectrum ones.",,,,,,
333022901865431040,22887887,If you talk bad about Lebron I hope a thug shoots off your great toe and all the Vancomycin and Cipro in the world cant cure the infection.,,,,,,
333278830980648960,323112996,@IntegrateMD I sure wish my doctor had told me Cipro could disable me for life! There was never any mention of that. Now I'm crippled.,59.0,66.0,ADR,disable,cipro,cipro
333278830980648960,323112996,@IntegrateMD I sure wish my doctor had told me Cipro could disable me for life! There was never any mention of that. Now I'm crippled.,127.0,135.0,ADR,crippled,cipro,cipro
333320339683676161,99578276,@AbdulHabiba hope u are fine now. Just finished taking mine also last month. Cipro tab and d rest... So I dnt need them again.,,,,,,
333342169836449794,16060054,"@CIPROisPOISON @_cimmy_ I hope you are doing better now. Yes, a small dose of Cipro a few years ago did get me two or so years of problems.",,,,,,
333727742677905408,112532974,"@kevinmd Even w the best care a patient can die from Avandia, Vioxx, get kidney failure from Cipro or commit suicide on new antidepressants",,,,,,
334024264187523074,106099582,"@remiamaka It wasn't an easy victory though. Felt like chemo with the Cipro. As for the heart, i meant for study purposes.",45.0,60.0,ADR,Felt like chemo,cipro,cipro
340451551766274049,600981465,@evann_lfc yea still a vampire as still on cipro wbu? Xx,23.0,30.0,ADR,vampire,cipro,cipro
341115149723250688,323112996,"@ABittersweet1 Cipro destroyed my entire body, from head to toe. Bedridden since 2009. Be VERY careful.",21.0,45.0,ADR,destroyed my entire body,cipro,cipro
341115149723250688,323112996,"@ABittersweet1 Cipro destroyed my entire body, from head to toe. Bedridden since 2009. Be VERY careful.",66.0,75.0,ADR,Bedridden,cipro,cipro
341530146165104641,116942462,"This cipro is totally ""killing"" my tummy .. hiks..",23.0,41.0,ADR,"killing""  my tummy",cipro,cipro
341688886319271936,70031567,@katelynjoyy the aythromicyn didn't work so I'm back on cipro which is what caused my septic c diff in sept.,86.0,99.0,ADR,septic c diff,cipro,cipro
341873958007738369,51028602,"@Nichole_Lindsey I've had Cipro before. Luckily for me, the only side fx I tend to get from AB is gastic upset. But I RARELY use AB.",98.0,110.0,ADR,gastic upset,cipro,cipro
342303467618062337,1371146184,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?,,,,,,
342671450496446464,923840822,@iamhdt I need some Lysol. Maybe some Cipro.,,,,,,
342745776985874432,1198051242,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?,,,,,,
343037715899629568,14344729,"No! I always get Cipro before I travel but never had to use it, not even in Mexico! MT @johnnyjet: Ever call doctor on a trip? #TravelSkills",,,,,,
345241637078847489,320440672,@ShipMom Cipro is awful makes me sick as a dog too,33.0,37.0,ADR,sick,cipro,cipro
346242584366161920,323112996,@LISABROWNPHOTOS Consider yourself lucky if all it does is make you dizzy and sick! Cipro crippled me and countless others.,68.0,73.0,ADR,dizzy,cipro,cipro
346242584366161920,323112996,@LISABROWNPHOTOS Consider yourself lucky if all it does is make you dizzy and sick! Cipro crippled me and countless others.,78.0,82.0,ADR,sick,cipro,cipro
346242584366161920,323112996,@LISABROWNPHOTOS Consider yourself lucky if all it does is make you dizzy and sick! Cipro crippled me and countless others.,91.0,99.0,ADR,crippled,cipro,cipro
346245541790892033,323112996,@QuiteColdNight @BuzzFeedAndrew USPS employees who were given Cipro ended up crippled by it & filed a class action lawsuit against Bayer.,,,,,,
346640892817465345,757895700,Forget diamonds...Cipro is a girl's best friend #tummytrouble #AhAfrica,50.0,62.0,Indication,tummytrouble,cipro,cipro
348135763520667648,49631183,"“@joshuagates: TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers).",,,,,,
348867655698104322,369536707,"TIP: My 5 item health kit for distant lands: Cipro (gut), Z Pak (chest), Pepto (stomach), Purell (germs), Advil (hangovers). #TravelSkills",,,,,,
349202688950542336,323112996,@TheEastMovie Thank you so much for getting the message out...wish I could see the film but Bayer CRIPPLED ME with Cipro back in 2009!,98.0,106.0,ADR,CRIPPLED,cipro,cipro
349211366210539520,323112996,@dougbremner I wish I'd have found your article sooner! I was crippled by Cipro in Oct of '09. Prescribed for a UTI & it didn't even help.,62.0,70.0,ADR,crippled,cipro,cipro
349211366210539520,323112996,@dougbremner I wish I'd have found your article sooner! I was crippled by Cipro in Oct of '09. Prescribed for a UTI & it didn't even help.,112.0,115.0,Indication,UTI,cipro,cipro
349427091500040192,1515370748,The Fluoroquinolone Syndrome <-Have you experienced side effects from taking Quinolones antibiotics (e.g. Cipro) ?,,,,,,
349785645192982528,495060869,@CIPROisPOISON You r Right Cipro nearly killed me,33.0,49.0,ADR,nearly killed me,cipro,cipro
351126697472569344,449157041,@jkimberlinn Im on cypro . Actually in dying on cypro,39.0,44.0,ADR,dying,cipro,cipro
352373166724751360,76887019,"@AidenHolder23 I am a sun-worshipper - doctor gave me Cipro - big warning about sun exposure - blah, blah, blah. Screw u I did it anyway!",,,,,,
